Link_index	Source	Destination	Capacity(kbps)
0	0	1	1
1	1	0	1
2	1	2	1
3	2	1	1
4	2	3	1
5	3	2	1
6	3	4	1
7	4	3	1
8	4	5	1
9	5	4	1
10	5	6	1
11	6	5	1
12	6	7	1
13	7	6	1
14	7	8	1
15	8	7	1
16	8	9	1
17	9	8	1
18	9	10	1
19	10	9	1
20	10	11	1
21	11	10	1
22	11	12	1
23	12	11	1
24	12	13	1
25	13	12	1
26	13	14	1
27	14	13	1
28	14	15	1
29	15	14	1
30	15	16	1
31	16	15	1
32	16	17	1
33	17	16	1
34	17	18	1
35	18	17	1
36	18	19	1
37	19	18	1
38	19	20	1
39	20	19	1
40	20	21	1
41	21	20	1
42	21	22	1
43	22	21	1
44	22	23	1
45	23	22	1
46	23	24	1
47	24	23	1
48	24	25	1
49	25	24	1
50	25	26	1
51	26	25	1
52	26	27	1
53	27	26	1
54	27	28	1
55	28	27	1
56	28	29	1
57	29	28	1
58	29	30	1
59	30	29	1
60	30	31	1
61	31	30	1
62	31	32	1
63	32	31	1
64	32	33	1
65	33	32	1
66	33	34	1
67	34	33	1
68	34	35	1
69	35	34	1
70	35	36	1
71	36	35	1
72	36	37	1
73	37	36	1
74	37	38	1
75	38	37	1
76	38	39	1
77	39	38	1
78	39	40	1
79	40	39	1
80	40	41	1
81	41	40	1
82	41	42	1
83	42	41	1
84	42	43	1
85	43	42	1
86	43	44	1
87	44	43	1
88	44	45	1
89	45	44	1
90	45	46	1
91	46	45	1
92	46	47	1
93	47	46	1
94	47	48	1
95	48	47	1
96	48	49	1
97	49	48	1
98	49	50	1
99	50	49	1
