Link_index	Source	Destination	Capacity(kbps)
0	0	2	1
1	0	3	1
2	0	4	1
3	0	8	1
4	0	31	1
5	1	2	1
6	1	11	1
7	1	12	1
8	1	23	1
9	1	28	1
10	1	30	1
11	2	3	1
12	2	7	1
13	2	9	1
14	2	12	1
15	2	14	1
16	2	15	1
17	2	22	1
18	2	24	1
19	2	25	1
20	2	44	1
21	2	45	1
22	3	4	1
23	3	5	1
24	3	6	1
25	3	7	1
26	3	9	1
27	3	11	1
28	3	13	1
29	3	32	1
30	3	38	1
31	3	41	1
32	3	49	1
33	4	5	1
34	4	6	1
35	4	10	1
36	4	13	1
37	4	15	1
38	4	17	1
39	4	19	1
40	4	24	1
41	4	26	1
42	5	8	1
43	6	27	1
44	6	31	1
45	6	34	1
46	6	40	1
47	6	43	1
48	7	18	1
49	7	20	1
50	7	33	1
51	7	37	1
52	7	39	1
53	7	46	1
54	8	40	1
55	9	10	1
56	9	23	1
57	9	42	1
58	10	14	1
59	10	17	1
60	10	27	1
61	11	48	1
62	12	16	1
63	12	19	1
64	12	29	1
65	12	32	1
66	13	18	1
67	13	25	1
68	13	37	1
69	13	45	1
70	14	16	1
71	14	48	1
72	17	21	1
73	17	47	1
74	19	20	1
75	19	21	1
76	19	22	1
77	19	29	1
78	19	30	1
79	19	34	1
80	19	35	1
81	19	36	1
82	19	38	1
83	19	43	1
84	19	46	1
85	24	26	1
86	24	28	1
87	24	47	1
88	25	33	1
89	25	36	1
90	30	39	1
91	31	35	1
92	37	44	1
93	40	41	1
94	40	42	1
95	48	49	1
