Link_index	Source	Destination	Capacity(kbps)
0	0	3	1
1	0	4	1
2	0	5	1
3	0	8	1
4	0	10	1
5	0	17	1
6	0	29	1
7	1	3	1
8	1	4	1
9	1	5	1
10	1	6	1
11	1	9	1
12	1	11	1
13	1	12	1
14	1	13	1
15	1	21	1
16	1	24	1
17	1	30	1
18	1	31	1
19	1	41	1
20	1	44	1
21	1	47	1
22	2	3	1
23	2	7	1
24	2	8	1
25	2	20	1
26	2	26	1
27	2	28	1
28	2	29	1
29	2	38	1
30	3	4	1
31	3	6	1
32	3	10	1
33	3	12	1
34	3	13	1
35	3	22	1
36	3	32	1
37	3	33	1
38	3	42	1
39	4	5	1
40	4	6	1
41	4	8	1
42	4	14	1
43	4	15	1
44	4	18	1
45	4	19	1
46	4	23	1
47	4	30	1
48	4	41	1
49	5	7	1
50	5	9	1
51	5	12	1
52	5	15	1
53	5	19	1
54	5	25	1
55	5	26	1
56	5	27	1
57	5	28	1
58	5	31	1
59	5	34	1
60	5	37	1
61	6	7	1
62	6	16	1
63	6	18	1
64	6	21	1
65	6	27	1
66	6	36	1
67	6	46	1
68	7	10	1
69	7	13	1
70	7	17	1
71	7	36	1
72	7	38	1
73	8	9	1
74	8	27	1
75	8	34	1
76	9	11	1
77	9	29	1
78	10	11	1
79	11	14	1
80	11	16	1
81	11	18	1
82	11	22	1
83	11	42	1
84	12	14	1
85	12	35	1
86	12	37	1
87	12	39	1
88	13	15	1
89	13	17	1
90	14	16	1
91	14	23	1
92	14	24	1
93	14	25	1
94	14	39	1
95	14	43	1
96	14	47	1
97	14	48	1
98	15	21	1
99	15	38	1
100	15	39	1
101	16	26	1
102	17	20	1
103	17	30	1
104	17	32	1
105	17	35	1
106	18	19	1
107	18	20	1
108	18	28	1
109	18	33	1
110	18	40	1
111	18	41	1
112	18	44	1
113	18	49	1
114	20	23	1
115	20	35	1
116	20	45	1
117	20	46	1
118	21	22	1
119	21	25	1
120	21	42	1
121	23	24	1
122	24	31	1
123	24	37	1
124	26	49	1
125	29	33	1
126	29	43	1
127	29	46	1
128	30	32	1
129	30	34	1
130	30	36	1
131	30	45	1
132	31	47	1
133	31	48	1
134	31	49	1
135	34	40	1
136	34	44	1
137	36	45	1
138	38	40	1
139	41	43	1
140	41	48	1
