Link_index	Source	Destination	Capacity(kbps)
0	0	1	1
1	0	34	1
2	0	48	1
3	1	5	1
4	1	18	1
5	1	46	1
6	2	8	1
7	3	5	1
8	3	24	1
9	4	11	1
10	4	22	1
11	4	28	1
12	4	46	1
13	5	25	1
14	5	37	1
15	5	41	1
16	7	16	1
17	7	23	1
18	7	41	1
19	7	42	1
20	7	44	1
21	7	45	1
22	8	17	1
23	9	33	1
24	10	19	1
25	10	22	1
26	10	26	1
27	11	24	1
28	11	45	1
29	13	47	1
30	16	17	1
31	16	36	1
32	19	34	1
33	19	40	1
34	19	41	1
35	19	42	1
36	21	45	1
37	22	39	1
38	23	27	1
39	23	39	1
40	23	45	1
41	24	32	1
42	24	38	1
43	24	49	1
44	25	42	1
45	27	35	1
46	28	31	1
47	29	46	1
48	32	49	1
49	34	45	1
50	37	49	1
51	39	42	1
52	39	43	1
53	39	48	1
54	43	45	1
55	45	48	1
