Link_index	Source	Destination	Capacity(kbps)
0	0	37	1
1	0	39	1
2	0	40	1
3	0	45	1
4	1	4	1
5	1	8	1
6	1	15	1
7	1	16	1
8	1	17	1
9	1	31	1
10	1	39	1
11	1	44	1
12	1	48	1
13	2	6	1
14	2	12	1
15	2	23	1
16	2	39	1
17	2	48	1
18	3	5	1
19	3	19	1
20	3	21	1
21	3	24	1
22	3	31	1
23	3	40	1
24	4	14	1
25	4	17	1
26	4	35	1
27	4	38	1
28	4	42	1
29	4	49	1
30	5	11	1
31	5	15	1
32	5	22	1
33	5	24	1
34	6	7	1
35	7	23	1
36	7	24	1
37	7	37	1
38	7	45	1
39	8	13	1
40	8	16	1
41	8	18	1
42	8	32	1
43	8	37	1
44	8	42	1
45	9	17	1
46	9	19	1
47	9	28	1
48	9	37	1
49	9	40	1
50	10	18	1
51	11	15	1
52	11	16	1
53	11	19	1
54	11	27	1
55	11	44	1
56	12	27	1
57	12	31	1
58	12	35	1
59	12	49	1
60	13	19	1
61	13	21	1
62	13	24	1
63	13	40	1
64	13	47	1
65	14	17	1
66	14	18	1
67	14	33	1
68	15	16	1
69	15	27	1
70	15	28	1
71	15	35	1
72	15	37	1
73	15	48	1
74	16	24	1
75	16	25	1
76	17	21	1
77	17	38	1
78	18	31	1
79	18	45	1
80	19	22	1
81	19	43	1
82	20	38	1
83	20	40	1
84	20	48	1
85	21	25	1
86	21	46	1
87	22	27	1
88	22	33	1
89	22	37	1
90	22	39	1
91	22	40	1
92	23	34	1
93	23	36	1
94	23	49	1
95	25	37	1
96	25	42	1
97	25	46	1
98	25	48	1
99	26	45	1
100	27	31	1
101	27	33	1
102	27	47	1
103	28	32	1
104	29	37	1
105	29	46	1
106	30	45	1
107	31	36	1
108	31	48	1
109	31	49	1
110	32	33	1
111	32	36	1
112	32	45	1
113	32	47	1
114	33	42	1
115	33	45	1
116	34	37	1
117	34	46	1
118	35	43	1
119	39	47	1
120	40	48	1
121	40	49	1
122	41	47	1
123	42	46	1
124	43	49	1
125	45	46	1
