Link_index	Source	Destination	Capacity(kbps)
0	0	32	1
1	0	40	1
2	0	57	1
3	0	66	1
4	0	73	1
5	0	87	1
6	0	92	1
7	1	3	1
8	1	32	1
9	1	33	1
10	1	39	1
11	1	47	1
12	1	55	1
13	1	58	1
14	2	18	1
15	2	45	1
16	2	52	1
17	3	24	1
18	3	54	1
19	3	70	1
20	3	79	1
21	3	91	1
22	4	26	1
23	4	41	1
24	4	47	1
25	4	54	1
26	4	57	1
27	4	85	1
28	5	15	1
29	5	51	1
30	5	67	1
31	5	71	1
32	5	93	1
33	5	95	1
34	6	12	1
35	6	16	1
36	6	26	1
37	6	34	1
38	6	49	1
39	6	66	1
40	6	80	1
41	6	86	1
42	7	12	1
43	7	18	1
44	7	44	1
45	7	75	1
46	7	80	1
47	7	81	1
48	7	86	1
49	8	39	1
50	8	78	1
51	8	80	1
52	9	22	1
53	9	27	1
54	9	57	1
55	10	43	1
56	10	47	1
57	10	63	1
58	10	89	1
59	11	21	1
60	11	34	1
61	11	36	1
62	11	64	1
63	11	73	1
64	12	15	1
65	12	22	1
66	12	30	1
67	12	97	1
68	13	38	1
69	13	42	1
70	13	46	1
71	14	22	1
72	14	35	1
73	14	47	1
74	14	49	1
75	14	60	1
76	14	75	1
77	14	78	1
78	14	82	1
79	14	92	1
80	14	97	1
81	15	90	1
82	15	98	1
83	16	43	1
84	16	47	1
85	16	51	1
86	17	18	1
87	17	27	1
88	17	31	1
89	17	85	1
90	17	96	1
91	17	97	1
92	18	19	1
93	18	35	1
94	18	39	1
95	18	40	1
96	18	71	1
97	18	88	1
98	18	90	1
99	18	93	1
100	18	95	1
101	18	97	1
102	18	99	1
103	19	77	1
104	20	49	1
105	20	62	1
106	20	89	1
107	21	30	1
108	21	47	1
109	21	87	1
110	21	93	1
111	22	26	1
112	22	71	1
113	22	89	1
114	23	40	1
115	23	43	1
116	23	51	1
117	24	65	1
118	25	34	1
119	25	76	1
120	25	83	1
121	25	86	1
122	25	87	1
123	26	34	1
124	26	46	1
125	26	59	1
126	26	87	1
127	27	29	1
128	27	47	1
129	27	50	1
130	27	69	1
131	27	84	1
132	28	69	1
133	28	86	1
134	29	52	1
135	29	55	1
136	30	32	1
137	30	41	1
138	31	35	1
139	31	38	1
140	31	46	1
141	31	52	1
142	31	64	1
143	31	72	1
144	31	85	1
145	32	64	1
146	33	46	1
147	34	40	1
148	34	42	1
149	34	55	1
150	34	59	1
151	34	95	1
152	35	42	1
153	35	44	1
154	35	58	1
155	35	78	1
156	36	47	1
157	36	49	1
158	36	52	1
159	36	96	1
160	37	63	1
161	37	66	1
162	37	87	1
163	37	88	1
164	37	97	1
165	38	59	1
166	38	83	1
167	39	59	1
168	39	81	1
169	40	55	1
170	40	66	1
171	40	84	1
172	40	98	1
173	40	99	1
174	41	47	1
175	41	49	1
176	41	58	1
177	43	50	1
178	43	53	1
179	43	87	1
180	43	99	1
181	44	47	1
182	44	72	1
183	44	97	1
184	45	68	1
185	45	94	1
186	45	96	1
187	46	59	1
188	46	77	1
189	46	93	1
190	47	48	1
191	47	63	1
192	47	90	1
193	48	68	1
194	48	85	1
195	49	52	1
196	49	70	1
197	49	72	1
198	50	76	1
199	50	81	1
200	50	83	1
201	50	92	1
202	51	71	1
203	53	71	1
204	53	88	1
205	53	97	1
206	55	85	1
207	55	92	1
208	55	95	1
209	56	79	1
210	57	61	1
211	57	66	1
212	57	74	1
213	57	84	1
214	59	76	1
215	60	80	1
216	61	67	1
217	61	79	1
218	62	66	1
219	63	67	1
220	63	74	1
221	63	88	1
222	63	97	1
223	64	67	1
224	64	94	1
225	65	88	1
226	65	98	1
227	66	77	1
228	66	86	1
229	68	87	1
230	69	87	1
231	70	90	1
232	72	84	1
233	73	76	1
234	73	77	1
235	73	88	1
236	73	99	1
237	74	78	1
238	74	94	1
239	75	76	1
240	75	93	1
241	76	79	1
242	76	81	1
243	76	84	1
244	76	96	1
245	76	97	1
246	77	88	1
247	78	81	1
248	78	89	1
249	79	80	1
250	80	89	1
251	80	90	1
252	81	82	1
253	81	95	1
254	83	96	1
255	84	88	1
256	84	94	1
257	85	95	1
258	92	96	1
259	93	97	1
