Link_index	Source	Destination	Capacity(kbps)
0	0	18	1
1	0	36	1
2	0	39	1
3	0	40	1
4	0	42	1
5	0	45	1
6	0	56	1
7	0	66	1
8	0	69	1
9	0	90	1
10	0	97	1
11	0	109	1
12	0	115	1
13	0	116	1
14	1	16	1
15	1	21	1
16	1	36	1
17	1	51	1
18	1	52	1
19	1	53	1
20	1	54	1
21	1	56	1
22	1	66	1
23	1	72	1
24	1	75	1
25	1	79	1
26	1	81	1
27	1	86	1
28	1	89	1
29	1	91	1
30	1	93	1
31	2	6	1
32	2	18	1
33	2	28	1
34	2	36	1
35	2	37	1
36	2	48	1
37	2	83	1
38	2	89	1
39	2	92	1
40	2	93	1
41	2	95	1
42	3	7	1
43	3	25	1
44	3	26	1
45	3	40	1
46	3	44	1
47	3	50	1
48	3	53	1
49	3	57	1
50	3	68	1
51	3	76	1
52	3	85	1
53	3	104	1
54	3	108	1
55	3	119	1
56	4	7	1
57	4	10	1
58	4	49	1
59	4	56	1
60	4	68	1
61	4	69	1
62	4	71	1
63	4	83	1
64	4	100	1
65	4	103	1
66	5	11	1
67	5	22	1
68	5	27	1
69	5	28	1
70	5	31	1
71	5	40	1
72	5	48	1
73	5	50	1
74	5	55	1
75	5	58	1
76	5	63	1
77	5	84	1
78	5	93	1
79	5	101	1
80	5	102	1
81	5	104	1
82	6	34	1
83	6	38	1
84	6	39	1
85	6	42	1
86	6	49	1
87	6	57	1
88	6	65	1
89	6	71	1
90	6	77	1
91	6	100	1
92	7	12	1
93	7	15	1
94	7	16	1
95	7	57	1
96	7	95	1
97	7	104	1
98	7	117	1
99	7	118	1
100	8	15	1
101	8	19	1
102	8	30	1
103	8	43	1
104	8	46	1
105	8	64	1
106	8	104	1
107	8	114	1
108	9	11	1
109	9	13	1
110	9	23	1
111	9	31	1
112	9	56	1
113	9	63	1
114	9	71	1
115	9	72	1
116	9	83	1
117	9	86	1
118	9	91	1
119	9	96	1
120	9	98	1
121	9	109	1
122	9	117	1
123	10	13	1
124	10	23	1
125	10	26	1
126	10	34	1
127	10	44	1
128	10	53	1
129	10	54	1
130	10	59	1
131	10	63	1
132	10	82	1
133	10	100	1
134	10	112	1
135	11	16	1
136	11	17	1
137	11	18	1
138	11	30	1
139	11	39	1
140	11	50	1
141	11	57	1
142	11	68	1
143	11	69	1
144	11	73	1
145	11	77	1
146	11	96	1
147	11	101	1
148	11	102	1
149	11	111	1
150	11	114	1
151	12	15	1
152	12	16	1
153	12	17	1
154	12	40	1
155	12	81	1
156	12	88	1
157	12	108	1
158	13	23	1
159	13	28	1
160	13	29	1
161	13	45	1
162	13	56	1
163	13	57	1
164	13	103	1
165	13	108	1
166	13	118	1
167	13	119	1
168	14	31	1
169	14	32	1
170	14	73	1
171	14	119	1
172	15	17	1
173	15	28	1
174	15	36	1
175	15	50	1
176	15	62	1
177	15	67	1
178	15	69	1
179	15	78	1
180	15	86	1
181	15	88	1
182	16	23	1
183	16	26	1
184	16	29	1
185	16	38	1
186	16	43	1
187	16	45	1
188	16	50	1
189	16	58	1
190	16	64	1
191	16	67	1
192	16	76	1
193	16	91	1
194	16	92	1
195	16	98	1
196	16	113	1
197	16	117	1
198	17	25	1
199	17	28	1
200	17	44	1
201	17	49	1
202	17	61	1
203	17	65	1
204	17	81	1
205	17	94	1
206	17	96	1
207	17	97	1
208	18	48	1
209	18	60	1
210	18	70	1
211	18	74	1
212	18	78	1
213	18	82	1
