Link_index	Source	Destination	Capacity(kbps)
0	0	1	1
1	0	6	1
2	0	7	1
3	0	9	1
4	0	18	1
5	0	20	1
6	0	36	1
7	0	38	1
8	0	42	1
9	0	52	1
10	0	62	1
11	0	75	1
12	0	77	1
13	0	88	1
14	0	99	1
15	0	102	1
16	0	112	1
17	0	115	1
18	0	129	1
19	0	130	1
20	0	136	1
21	0	140	1
22	0	145	1
23	0	161	1
24	0	168	1
25	0	183	1
26	0	188	1
27	0	196	1
28	1	16	1
29	1	17	1
30	1	24	1
31	1	27	1
32	1	39	1
33	1	42	1
34	1	49	1
35	1	59	1
36	1	66	1
37	1	74	1
38	1	75	1
39	1	87	1
40	1	98	1
41	1	157	1
42	1	170	1
43	1	176	1
44	1	181	1
45	1	185	1
46	2	6	1
47	2	7	1
48	2	21	1
49	2	41	1
50	2	44	1
51	2	54	1
52	2	64	1
53	2	66	1
54	2	70	1
55	2	73	1
56	2	81	1
57	2	95	1
58	2	97	1
59	2	115	1
60	2	122	1
61	2	128	1
62	2	134	1
63	2	136	1
64	2	142	1
65	2	143	1
66	2	160	1
67	2	164	1
68	2	165	1
69	2	187	1
70	3	24	1
71	3	39	1
72	3	50	1
73	3	58	1
74	3	64	1
75	3	67	1
76	3	69	1
77	3	77	1
78	3	93	1
79	3	95	1
80	3	110	1
81	3	180	1
82	4	12	1
83	4	16	1
84	4	28	1
85	4	44	1
86	4	48	1
87	4	54	1
88	4	56	1
89	4	60	1
90	4	61	1
91	4	65	1
92	4	67	1
93	4	78	1
94	4	80	1
95	4	106	1
96	4	109	1
97	4	128	1
98	4	131	1
99	4	148	1
100	4	161	1
101	4	179	1
102	4	183	1
103	4	193	1
104	5	11	1
105	5	14	1
106	5	19	1
107	5	40	1
108	5	58	1
109	5	59	1
110	5	61	1
111	5	78	1
112	5	80	1
113	5	88	1
114	5	93	1
115	5	97	1
116	5	146	1
117	5	151	1
118	5	164	1
119	5	168	1
120	5	184	1
121	5	189	1
122	5	199	1
123	6	8	1
124	6	18	1
125	6	28	1
126	6	78	1
127	6	82	1
128	6	84	1
129	6	106	1
130	6	138	1
131	6	152	1
132	6	163	1
133	6	173	1
134	6	175	1
135	6	189	1
136	6	197	1
137	7	11	1
138	7	13	1
139	7	17	1
140	7	34	1
141	7	41	1
142	7	46	1
143	7	59	1
144	7	65	1
145	7	73	1
146	7	83	1
147	7	85	1
148	7	92	1
149	7	128	1
150	7	137	1
151	7	139	1
152	7	141	1
153	7	151	1
154	7	158	1
155	7	168	1
156	7	169	1
157	7	186	1
158	8	12	1
159	8	13	1
160	8	54	1
161	8	58	1
162	8	64	1
163	8	79	1
164	8	83	1
165	8	86	1
166	8	87	1
167	8	114	1
168	8	133	1
169	8	137	1
170	8	149	1
171	8	156	1
172	8	157	1
173	8	167	1
174	8	173	1
175	8	191	1
176	8	198	1
177	9	27	1
178	9	69	1
179	9	78	1
180	9	84	1
181	9	87	1
182	9	88	1
183	9	98	1
184	9	103	1
185	9	105	1
186	9	117	1
187	9	123	1
188	9	137	1
189	9	138	1
190	9	144	1
191	9	152	1
192	9	156	1
193	9	168	1
194	9	176	1
195	9	188	1
196	10	32	1
197	10	39	1
198	10	42	1
199	10	48	1
200	10	49	1
201	10	50	1
202	10	53	1
203	10	57	1
204	10	76	1
205	10	78	1
206	10	80	1
207	10	86	1
208	10	94	1
209	10	98	1
210	10	100	1
211	10	102	1
212	10	104	1
213	10	109	1
214	10	111	1
