Link_index	Source	Destination	Capacity(kbps)
0	0	3	1
1	0	11	1
2	0	12	1
3	0	27	1
4	0	38	1
5	0	46	1
6	0	78	1
7	0	166	1
8	1	3	1
9	1	4	1
10	1	5	1
11	1	6	1
12	1	10	1
13	1	13	1
14	1	14	1
15	1	15	1
16	1	16	1
17	1	17	1
18	1	18	1
19	1	22	1
20	1	26	1
21	1	28	1
22	1	39	1
23	1	41	1
24	1	56	1
25	1	64	1
26	1	76	1
27	1	97	1
28	1	98	1
29	1	99	1
30	1	108	1
31	1	126	1
32	1	128	1
33	1	130	1
34	1	143	1
35	1	152	1
36	1	154	1
37	1	156	1
38	1	165	1
39	1	189	1
40	2	3	1
41	2	4	1
42	2	21	1
43	2	23	1
44	2	25	1
45	2	45	1
46	2	49	1
47	2	86	1
48	2	96	1
49	2	110	1
50	2	168	1
51	2	178	1
52	3	4	1
53	3	5	1
54	3	7	1
55	3	8	1
56	3	9	1
57	3	13	1
58	3	14	1
59	3	15	1
60	3	20	1
61	3	22	1
62	3	23	1
63	3	25	1
64	3	30	1
65	3	33	1
66	3	35	1
67	3	39	1
68	3	43	1
69	3	56	1
70	3	58	1
71	3	61	1
72	3	64	1
73	3	75	1
74	3	81	1
75	3	89	1
76	3	97	1
77	3	103	1
78	3	105	1
79	3	109	1
80	3	116	1
81	3	149	1
82	3	152	1
83	3	156	1
84	3	158	1
85	3	160	1
86	3	163	1
87	3	177	1
88	3	181	1
89	3	188	1
90	3	197	1
91	4	5	1
92	4	6	1
93	4	7	1
94	4	8	1
95	4	9	1
96	4	16	1
97	4	19	1
98	4	21	1
99	4	24	1
100	4	26	1
101	4	28	1
102	4	30	1
103	4	31	1
104	4	33	1
105	4	34	1
106	4	37	1
107	4	40	1
108	4	45	1
109	4	50	1
110	4	53	1
111	4	55	1
112	4	57	1
113	4	81	1
114	4	83	1
115	4	88	1
116	4	90	1
117	4	94	1
118	4	100	1
119	4	119	1
120	4	127	1
121	4	130	1
122	4	139	1
123	4	145	1
124	4	148	1
125	4	160	1
126	4	167	1
127	4	169	1
128	4	172	1
129	4	183	1
130	4	194	1
131	5	6	1
132	5	8	1
133	5	9	1
134	5	10	1
135	5	11	1
136	5	18	1
137	5	20	1
138	5	26	1
139	5	30	1
140	5	38	1
141	5	40	1
142	5	48	1
143	5	61	1
144	5	89	1
145	5	91	1
146	5	95	1
147	5	111	1
148	5	112	1
149	5	115	1
150	5	134	1
151	5	136	1
152	5	151	1
153	5	157	1
154	5	167	1
155	5	174	1
156	5	191	1
157	5	194	1
158	5	196	1
159	5	198	1
160	6	7	1
161	6	15	1
162	6	16	1
163	6	25	1
164	6	33	1
165	6	60	1
166	6	63	1
167	6	68	1
168	6	99	1
169	6	105	1
170	6	131	1
171	6	141	1
172	6	151	1
173	6	191	1
174	6	194	1
175	7	12	1
176	7	48	1
177	7	92	1
178	8	10	1
179	8	17	1
180	8	19	1
181	8	67	1
182	8	72	1
183	8	80	1
184	8	90	1
185	8	109	1
186	8	127	1
187	8	140	1
188	8	147	1
189	8	148	1
190	8	178	1
191	9	11	1
192	9	13	1
193	9	24	1
194	9	29	1
195	9	35	1
196	9	40	1
197	9	54	1
198	9	57	1
199	9	78	1
200	9	87	1
201	9	123	1
202	9	136	1
203	9	163	1
204	9	182	1
205	9	187	1
206	10	12	1
207	10	18	1
208	10	23	1
209	10	42	1
210	10	51	1
211	10	73	1
212	10	75	1
213	10	95	1
214	10	107	1
215	10	124	1
216	10	164	1
217	10	193	1
218	11	28	1
219	11	31	1
220	11	47	1
221	11	49	1
222	11	65	1
223	11	66	1
224	11	72	1
225	11	77	1
226	11	120	1
227	11	123	1
228	11	148	1
229	11	171	1
230	12	60	1
231	12	63	1
232	12	80	1
233	12	114	1
234	12	126	1
235	12	161	1
236	13	14	1
237	13	17	1
238	13	20	1
239	13	24	1
240	13	47	1
241	13	55	1
242	13	60	1
243	13	120	1
244	13	143	1
