Link_index	Source	Destination	Capacity(kbps)
0	0	2	1
1	0	3	1
2	0	8	1
3	0	9	1
4	0	10	1
5	0	21	1
6	0	26	1
7	0	30	1
8	0	31	1
9	0	36	1
10	0	37	1
11	0	45	1
12	0	46	1
13	0	53	1
14	0	56	1
15	0	67	1
16	0	70	1
17	0	71	1
18	0	73	1
19	0	86	1
20	0	87	1
21	0	96	1
22	0	142	1
23	0	149	1
24	0	155	1
25	0	168	1
26	0	172	1
27	0	176	1
28	0	183	1
29	0	194	1
30	0	198	1
31	0	235	1
32	0	244	1
33	0	255	1
34	0	266	1
35	0	271	1
36	0	302	1
37	0	313	1
38	0	326	1
39	0	332	1
40	0	375	1
41	0	384	1
42	0	385	1
43	1	2	1
44	1	23	1
45	1	64	1
46	1	75	1
47	1	174	1
48	1	180	1
49	1	208	1
50	1	359	1
51	1	390	1
52	2	3	1
53	2	4	1
54	2	6	1
55	2	11	1
56	2	16	1
57	2	28	1
58	2	38	1
59	2	40	1
60	2	42	1
61	2	44	1
62	2	53	1
63	2	65	1
64	2	71	1
65	2	91	1
66	2	92	1
67	2	126	1
68	2	141	1
69	2	154	1
70	2	155	1
71	2	156	1
72	2	190	1
73	2	195	1
74	2	207	1
75	2	237	1
76	2	296	1
77	3	4	1
78	3	5	1
79	3	7	1
80	3	13	1
81	3	20	1
82	3	26	1
83	3	29	1
84	3	32	1
85	3	34	1
86	3	35	1
87	3	43	1
88	3	47	1
89	3	69	1
90	3	88	1
91	3	89	1
92	3	127	1
93	3	145	1
94	3	154	1
95	3	245	1
96	3	277	1
97	3	282	1
98	3	299	1
99	3	312	1
100	3	327	1
101	3	341	1
102	3	353	1
103	4	5	1
104	4	6	1
105	4	8	1
106	4	11	1
107	4	12	1
108	4	14	1
109	4	18	1
110	4	21	1
111	4	23	1
112	4	24	1
113	4	27	1
114	4	34	1
115	4	39	1
116	4	46	1
117	4	52	1
118	4	55	1
119	4	58	1
120	4	72	1
121	4	77	1
122	4	82	1
123	4	83	1
124	4	84	1
125	4	87	1
126	4	93	1
127	4	102	1
128	4	112	1
129	4	113	1
130	4	114	1
131	4	118	1
132	4	121	1
133	4	128	1
134	4	135	1
135	4	163	1
136	4	165	1
137	4	168	1
138	4	209	1
139	4	214	1
140	4	223	1
141	4	234	1
142	4	255	1
143	4	258	1
144	4	280	1
145	4	305	1
146	4	328	1
147	4	360	1
148	4	389	1
149	5	22	1
150	5	25	1
151	5	50	1
152	5	97	1
153	5	110	1
154	5	124	1
155	5	126	1
156	5	148	1
157	5	151	1
158	5	167	1
159	5	173	1
