Link_index	Source	Destination	Capacity(kbps)
0	0	158	1
1	0	269	1
2	0	353	1
3	1	92	1
4	1	188	1
5	1	190	1
6	1	191	1
7	1	360	1
8	2	76	1
9	2	156	1
10	3	32	1
11	3	128	1
12	3	195	1
13	3	365	1
14	3	367	1
15	4	52	1
16	4	148	1
17	4	161	1
18	4	192	1
19	4	197	1
20	4	285	1
21	4	379	1
22	5	9	1
23	5	133	1
24	5	371	1
25	6	15	1
26	6	61	1
27	6	137	1
28	7	9	1
29	7	121	1
30	7	137	1
31	7	186	1
32	7	243	1
33	7	261	1
34	7	270	1
35	7	291	1
36	7	326	1
37	7	351	1
38	8	120	1
39	8	207	1
40	8	319	1
41	9	14	1
42	9	230	1
43	10	18	1
44	10	63	1
45	10	393	1
46	11	78	1
47	11	157	1
48	11	304	1
49	11	385	1
50	11	388	1
51	11	398	1
52	12	33	1
53	12	69	1
54	12	97	1
55	12	194	1
56	12	233	1
57	12	305	1
58	12	367	1
59	12	393	1
60	13	279	1
61	13	360	1
62	14	66	1
63	14	71	1
64	14	123	1
65	14	365	1
66	15	101	1
67	15	149	1
68	15	249	1
69	15	367	1
70	15	375	1
71	16	90	1
72	16	214	1
73	17	33	1
74	17	85	1
75	17	228	1
76	18	71	1
77	18	125	1
78	18	316	1
79	18	396	1
80	19	46	1
81	19	205	1
82	19	252	1
83	19	365	1
84	20	53	1
85	20	92	1
86	20	189	1
87	20	260	1
88	20	271	1
89	20	296	1
90	20	308	1
91	20	323	1
92	21	152	1
93	21	177	1
94	21	186	1
95	21	358	1
96	21	390	1
97	22	37	1
98	22	152	1
99	22	286	1
100	22	338	1
101	22	376	1
102	23	70	1
103	23	113	1
104	23	297	1
105	23	350	1
106	24	42	1
107	24	86	1
108	24	242	1
109	24	282	1
110	24	294	1
111	24	330	1
112	25	55	1
113	25	63	1
114	25	166	1
115	25	287	1
116	25	309	1
117	25	360	1
118	25	397	1
119	26	27	1
120	26	89	1
121	26	109	1
122	26	192	1
123	26	315	1
124	26	329	1
125	26	347	1
126	27	77	1
127	27	87	1
128	27	157	1
129	27	212	1
130	27	250	1
131	27	326	1
132	27	391	1
133	28	126	1
134	28	185	1
135	28	351	1
136	28	354	1
137	29	57	1
138	30	153	1
139	30	210	1
140	30	299	1
141	30	333	1
142	31	110	1
143	31	125	1
144	31	129	1
145	31	173	1
146	31	333	1
147	32	123	1
148	32	165	1
149	32	285	1
150	32	348	1
151	32	357	1
152	32	369	1
153	33	103	1
154	33	249	1
155	33	288	1
156	34	150	1
157	34	288	1
158	35	193	1
159	35	202	1
160	35	367	1
161	35	368	1
162	36	136	1
163	36	152	1
164	36	211	1
165	37	130	1
166	37	200	1
167	37	354	1
168	38	236	1
169	38	338	1
170	38	345	1
171	38	348	1
172	39	44	1
173	39	62	1
174	39	119	1
175	39	284	1
176	39	391	1
177	40	86	1
178	40	109	1
179	40	132	1
180	40	142	1
181	40	203	1
182	40	220	1
183	40	278	1
184	40	372	1
185	40	376	1
186	41	121	1
187	41	199	1
188	41	270	1
189	41	304	1
190	42	176	1
191	42	263	1
192	42	341	1
193	43	98	1
194	43	143	1
195	43	217	1
196	43	281	1
197	43	357	1
198	44	63	1
199	44	155	1
200	44	174	1
201	44	291	1
202	44	382	1
203	45	181	1
204	45	363	1
205	46	188	1
206	46	364	1
207	47	118	1
208	47	321	1
209	47	327	1
210	48	135	1
211	48	153	1
212	48	162	1
213	49	219	1
214	49	260	1
215	50	68	1
216	50	259	1
217	50	327	1
218	51	384	1
219	52	141	1
220	52	228	1
221	52	255	1
222	53	245	1
223	54	64	1
224	54	104	1
225	54	108	1
226	54	262	1
227	54	278	1
228	54	358	1
229	54	363	1
230	54	383	1
231	55	148	1
232	55	271	1
233	56	67	1
234	56	73	1
235	56	84	1
236	56	254	1
237	56	285	1
238	56	326	1
239	56	336	1
240	57	167	1
241	57	301	1
242	57	355	1
243	58	79	1
244	58	157	1
245	58	228	1
246	59	83	1
247	59	101	1
248	59	105	1
249	59	135	1
250	59	136	1
251	59	191	1
252	59	231	1
253	59	335	1
254	60	69	1
255	60	386	1
256	61	331	1
257	61	344	1
258	61	351	1
259	61	380	1
260	62	114	1
261	62	119	1
262	62	260	1
263	62	316	1
264	62	343	1
265	63	147	1
266	63	381	1
267	64	90	1
268	64	160	1
269	64	301	1
270	65	110	1
271	65	261	1
272	66	223	1
273	66	278	1
274	66	359	1
275	66	394	1
276	67	107	1
277	67	327	1
278	68	344	1
279	68	356	1
280	69	120	1
281	69	126	1
282	69	189	1
283	69	220	1
284	69	272	1
285	69	301	1
286	70	139	1
287	70	164	1
288	71	190	1
289	71	267	1
290	72	161	1
291	72	196	1
292	72	289	1
293	72	309	1
294	73	243	1
295	73	270	1
296	73	301	1
297	74	151	1
298	74	182	1
299	74	213	1
300	74	377	1
301	75	92	1
302	75	225	1
303	75	287	1
304	75	332	1
305	76	113	1
306	76	117	1
307	76	184	1
308	76	310	1
309	77	218	1
310	78	152	1
311	78	156	1
312	78	206	1
313	78	211	1
314	79	169	1
315	79	213	1
316	79	283	1
317	79	323	1
318	79	346	1
319	80	223	1
320	80	301	1
321	81	185	1
322	81	346	1
323	81	358	1
324	82	227	1
325	82	363	1
326	83	200	1
327	84	198	1
328	85	208	1
329	85	280	1
330	86	178	1
331	87	313	1
332	88	176	1
333	88	328	1
334	89	211	1
335	89	242	1
336	89	263	1
337	89	326	1
338	90	159	1
339	90	256	1
340	91	199	1
341	91	246	1
342	93	282	1
343	93	390	1
344	93	396	1
345	94	155	1
346	94	158	1
347	94	262	1
348	94	288	1
349	94	318	1
350	94	367	1
351	95	110	1
352	95	126	1
353	95	390	1
354	96	154	1
355	96	296	1
356	96	344	1
357	97	378	1
358	97	398	1
359	98	121	1
360	98	175	1
361	98	217	1
362	98	238	1
363	99	135	1
364	99	149	1
365	99	293	1
366	100	116	1
367	100	131	1
368	100	305	1
369	100	359	1
370	101	312	1
371	102	242	1
372	102	314	1
373	102	333	1
374	103	366	1
375	104	279	1
376	104	291	1
377	104	364	1
378	104	399	1
379	105	130	1
380	105	189	1
381	105	234	1
382	105	238	1
383	106	211	1
384	106	396	1
385	107	230	1
386	107	278	1
387	107	312	1
388	107	332	1
389	108	247	1
390	108	270	1
391	109	117	1
392	109	136	1
393	109	228	1
394	109	254	1
395	110	300	1
396	111	141	1
397	111	144	1
398	111	194	1
399	111	278	1
400	112	275	1
401	113	140	1
402	113	173	1
403	113	282	1
404	113	340	1
405	113	382	1
406	113	385	1
407	113	391	1
408	114	130	1
409	114	176	1
410	114	235	1
411	115	159	1
412	115	195	1
413	116	251	1
414	117	185	1
415	117	188	1
416	117	200	1
417	117	241	1
418	117	293	1
419	117	300	1
420	117	301	1
421	118	145	1
422	118	178	1
423	118	237	1
424	118	316	1
425	120	314	1
426	120	330	1
427	121	142	1
428	121	208	1
429	121	215	1
430	121	247	1
431	121	336	1
432	122	157	1
433	122	249	1
434	123	228	1
435	123	397	1
436	124	164	1
437	124	226	1
438	125	301	1
439	125	369	1
440	126	355	1
441	127	128	1
442	127	164	1
443	127	189	1
444	127	213	1
445	127	233	1
446	127	291	1
447	127	368	1
448	128	394	1
449	129	213	1
450	129	305	1
451	129	315	1
452	129	369	1
453	129	371	1
454	129	372	1
455	130	185	1
456	130	273	1
457	130	337	1
458	130	393	1
459	131	151	1
460	131	305	1
461	131	326	1
462	131	366	1
463	131	387	1
464	132	171	1
465	132	312	1
466	133	370	1
467	133	382	1
468	134	230	1
469	135	240	1
470	135	350	1
471	136	387	1
472	136	396	1
473	137	209	1
474	137	299	1
475	138	155	1
476	138	167	1
477	138	195	1
478	138	293	1
479	138	304	1
480	139	140	1
481	139	171	1
482	140	199	1
483	140	289	1
484	141	321	1
485	141	360	1
486	142	149	1
487	142	154	1
488	142	195	1
489	142	202	1
490	143	211	1
491	143	248	1
492	144	170	1
493	144	397	1
494	145	159	1
495	145	186	1
496	146	217	1
497	146	268	1
498	146	281	1
499	146	307	1
500	147	242	1
501	147	248	1
502	147	308	1
503	147	325	1
504	148	183	1
505	148	194	1
506	149	154	1
507	149	167	1
508	150	193	1
509	150	361	1
510	151	276	1
511	152	164	1
512	153	369	1
513	154	183	1
514	154	279	1
515	155	171	1
516	155	330	1
517	156	209	1
518	157	227	1
519	157	259	1
520	157	322	1
521	157	374	1
522	158	162	1
523	159	200	1
524	159	275	1
525	159	313	1
526	160	293	1
527	161	290	1
528	162	364	1
529	162	393	1
530	163	203	1
531	163	251	1
532	163	297	1
533	164	172	1
534	164	290	1
535	165	168	1
536	165	363	1
537	166	167	1
538	167	305	1
539	167	366	1
540	167	379	1
541	168	238	1
542	168	288	1
543	169	204	1
544	169	282	1
545	169	366	1
546	170	354	1
547	171	332	1
548	172	291	1
549	173	182	1
550	173	193	1
551	173	271	1
552	174	194	1
553	175	214	1
554	175	353	1
555	177	217	1
556	177	259	1
557	177	324	1
558	177	364	1
559	177	382	1
560	178	221	1
561	178	258	1
562	178	268	1
563	179	288	1
564	179	327	1
565	180	285	1
566	181	287	1
567	182	195	1
568	182	265	1
569	182	343	1
570	183	230	1
571	183	388	1
572	184	267	1
573	184	322	1
574	184	334	1
575	187	283	1
576	189	227	1
577	190	271	1
578	190	276	1
579	190	308	1
580	190	322	1
581	191	202	1
582	191	292	1
583	191	354	1
584	191	399	1
585	192	198	1
586	192	394	1
587	193	255	1
588	193	262	1
589	193	270	1
590	194	267	1
591	195	351	1
592	196	205	1
593	196	219	1
594	196	289	1
595	196	290	1
596	197	392	1
597	197	393	1
598	198	256	1
599	198	340	1
600	199	227	1
601	199	278	1
602	200	246	1
603	200	302	1
604	200	305	1
605	201	235	1
606	201	326	1
607	201	353	1
608	201	369	1
609	203	339	1
610	204	270	1
611	205	288	1
612	205	298	1
613	205	337	1
614	205	357	1
615	205	389	1
616	206	303	1
617	207	364	1
618	207	382	1
619	208	363	1
620	208	388	1
621	210	260	1
622	210	377	1
623	211	260	1
624	213	397	1
625	214	264	1
626	214	277	1
627	214	352	1
628	214	370	1
629	215	235	1
630	215	255	1
631	215	314	1
632	215	360	1
633	216	266	1
634	217	314	1
635	218	231	1
636	218	297	1
637	219	306	1
638	219	383	1
639	219	398	1
640	220	221	1
641	220	328	1
642	221	356	1
643	222	293	1
644	224	353	1
645	225	308	1
646	227	349	1
647	227	372	1
648	229	280	1
649	230	370	1
650	231	232	1
651	232	392	1
652	233	234	1
653	233	267	1
654	233	321	1
655	234	259	1
656	235	237	1
657	235	337	1
658	235	363	1
659	236	268	1
660	237	238	1
661	237	342	1
662	238	266	1
663	238	299	1
664	238	305	1
665	238	388	1
666	239	309	1
667	239	333	1
668	240	285	1
669	240	289	1
670	241	275	1
671	241	280	1
672	242	280	1
673	244	253	1
674	246	310	1
675	246	366	1
676	247	287	1
677	248	399	1
678	250	252	1
679	250	311	1
680	250	330	1
681	251	360	1
682	251	378	1
683	253	310	1
684	253	395	1
685	253	397	1
686	254	311	1
687	255	273	1
688	255	309	1
689	257	312	1
690	257	370	1
691	258	283	1
692	258	344	1
693	258	386	1
694	259	281	1
695	261	314	1
696	262	288	1
697	264	274	1
698	264	335	1
699	265	284	1
700	265	296	1
701	267	318	1
702	267	322	1
703	267	372	1
704	268	360	1
705	270	323	1
706	271	278	1
707	271	290	1
708	271	298	1
709	272	337	1
710	272	339	1
711	272	343	1
712	273	296	1
713	273	337	1
714	274	358	1
715	274	360	1
716	276	280	1
717	277	323	1
718	278	317	1
719	280	282	1
720	280	340	1
721	281	305	1
722	282	390	1
723	283	336	1
724	283	394	1
725	288	331	1
726	288	358	1
727	293	376	1
728	295	332	1
729	300	373	1
730	301	341	1
731	303	323	1
732	303	341	1
733	304	391	1
734	305	343	1
735	305	363	1
736	306	317	1
737	306	347	1
738	307	358	1
739	308	326	1
740	311	337	1
741	312	345	1
742	313	381	1
743	313	399	1
744	315	325	1
745	315	337	1
746	318	336	1
747	320	395	1
748	321	377	1
749	322	366	1
750	323	396	1
751	324	340	1
752	325	373	1
753	329	350	1
754	331	355	1
755	331	367	1
756	331	385	1
757	336	368	1
758	337	360	1
759	337	393	1
760	339	355	1
761	339	362	1
762	340	389	1
763	341	355	1
764	342	365	1
765	343	392	1
766	343	396	1
767	345	350	1
768	345	393	1
769	346	379	1
770	352	395	1
771	355	371	1
772	355	378	1
773	360	365	1
774	362	396	1
775	365	367	1
776	365	384	1
777	368	370	1
778	368	381	1
779	369	380	1
780	371	399	1
