Link_index	Source	Destination	Capacity(kbps)
0	0	2	1
1	0	3	1
2	0	6	1
3	0	10	1
4	0	13	1
5	0	29	1
6	0	30	1
7	0	43	1
8	1	2	1
9	2	3	1
10	2	4	1
11	2	5	1
12	2	7	1
13	2	11	1
14	2	45	1
15	2	56	1
16	2	76	1
17	3	4	1
18	3	5	1
19	3	8	1
20	3	11	1
21	3	13	1
22	3	14	1
23	3	17	1
24	3	18	1
25	3	24	1
26	3	26	1
27	3	28	1
28	3	30	1
29	3	33	1
30	3	50	1
31	3	56	1
32	3	63	1
33	3	68	1
34	4	6	1
35	4	7	1
36	4	22	1
37	5	9	1
38	5	12	1
39	5	19	1
40	5	20	1
41	5	21	1
42	5	22	1
43	5	24	1
44	5	31	1
45	5	38	1
46	5	62	1
47	6	10	1
48	6	12	1
49	6	15	1
50	6	16	1
51	6	17	1
52	6	23	1
53	6	25	1
54	6	31	1
55	6	32	1
56	6	34	1
57	6	37	1
58	6	42	1
59	6	53	1
60	6	58	1
61	6	62	1
62	6	63	1
63	6	64	1
64	6	67	1
65	6	70	1
66	6	71	1
67	6	77	1
68	7	8	1
69	7	9	1
70	7	45	1
71	7	46	1
72	7	51	1
73	7	52	1
74	8	36	1
75	8	37	1
76	8	49	1
77	9	16	1
78	9	23	1
79	9	25	1
80	9	32	1
81	9	36	1
82	9	39	1
83	9	49	1
84	9	52	1
85	9	54	1
86	9	57	1
87	9	59	1
88	10	14	1
89	10	15	1
90	10	20	1
91	10	29	1
92	10	34	1
93	10	35	1
94	10	59	1
95	10	71	1
96	11	18	1
97	12	42	1
98	12	72	1
99	12	78	1
100	14	27	1
101	14	70	1
102	14	79	1
103	15	28	1
104	15	44	1
105	16	19	1
106	17	21	1
107	17	41	1
108	17	48	1
109	17	73	1
110	18	41	1
111	18	76	1
112	19	27	1
113	19	38	1
114	19	61	1
115	19	64	1
116	20	66	1
117	22	26	1
118	22	40	1
119	22	47	1
120	24	33	1
121	24	35	1
122	24	44	1
123	24	69	1
124	25	47	1
125	26	43	1
126	26	51	1
127	27	77	1
128	28	67	1
129	28	74	1
130	28	75	1
131	30	60	1
132	31	60	1
133	34	54	1
134	36	40	1
135	36	73	1
136	37	46	1
137	37	53	1
138	37	57	1
139	38	39	1
140	38	48	1
141	39	61	1
142	41	68	1
143	44	55	1
144	45	69	1
145	45	78	1
146	46	55	1
147	47	50	1
148	47	65	1
149	47	72	1
150	49	58	1
151	53	65	1
152	59	66	1
153	69	75	1
154	73	74	1
155	77	79	1
